127.0.0.1 - - [08/Feb/2024:20:58:54 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Feb/2024:20:58:55 -0300] "GET /DynamicWeb/index.html HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [08/Feb/2024:20:58:55 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Feb/2024:20:59:10 -0300] "GET /DynamicWeb/index.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:00:55 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:01:26 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:02:28 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:02:38 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:02:38 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:08:33 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:08:41 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:17 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:35 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:36 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:40 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:40 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:40 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:41 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:41 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:50 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:09:50 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:10:06 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [08/Feb/2024:21:10:13 -0300] "GET /DynamicWeb/index.jsp HTTP/1.1" 200 510
